ISMN,annee_sortie,arrangeur,artiste,collection,compositeur,description,duree,edition,genre,instrumentation,niveau,partie_euro,ref_editeur,sous_titre,style,titre,url
,,Lorenzo Pusceddu,,,,,,Scomegna,,Orchestre d'Harmonie,,True,SCOESB842.20,,,Christmas Medley,https://www.musicshopeurope.fr/christmas-medley-scoesb842.20?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37550
,,,,,Marc-Antoine Charpentier,,,Scomegna,Classique,Concert Band,2.0,False,SCOESB84016,,,Te Deum - O Bone Jesu,https://www.musicshopeurope.fr/te-deum-o-bone-jesu-scoesb84016?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37550
,,,,,Fernando Francia,,,Scomegna,,Concert Band,,False,SCOESB83817,,,Sax Appeal,https://www.musicshopeurope.fr/sax-appeal-scoesb83817?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37550
,,Lorenzo Pusceddu,,,Richard Wagner,,00:06:40,Scomegna,,Concert Band,,True,SCOESB82619,,,TANNHÄUSER Grand March,https://www.musicshopeurope.fr/tannh%c3%84user-grand-march-scoesb82619?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37550
,,John Kander,,,,,00:08:00,Scomegna,,Concert Band,,False,SCOESB82421,,,Highlights from Chicago,https://www.musicshopeurope.fr/highlights-from-chicago-scoesb82421?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37550
,,Giuliano Moser,,,Wolfgang Amadeus Mozart,,,Scomegna,,Orchestre d'Harmonie,,True,SCOESB81616,,,Ave Verum Corpus / Panis Angelicus,https://www.musicshopeurope.fr/ave-verum-corpus-3-panis-angelicus-scoesb81616?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37550
,, Ofburg,,,Georg Friedrich Händel,,00:01:56,Scomegna,,Concert Band,,True,SCOESB81516,,,Rinaldo's Air,https://www.musicshopeurope.fr/rinaldo-s-air-scoesb81516?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37550
,,Giancarlo Gazzani,,,George Gershwin,,,Scomegna,,Concert Band,,False,SCOESB80817,,,Summertime,https://www.musicshopeurope.fr/summertime-scoesb80817?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37550
,,Marco Somadossi,,,Bill Conti,,00:03:45,Scomegna,"TV, Film, Comédie musicale",Concert Band,3.0,False,SCOESB80518A,,Rock,Gonna Fly Now,https://www.musicshopeurope.fr/gonna-fly-now-scoesb80518a?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37550
,,Doppel,,,,,00:03:20,Scomegna,,Concert Band,2.5,False,SCOESB80417,,,Chiuso Per Ferie,https://www.musicshopeurope.fr/chiuso-per-ferie-scoesb80417?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37550
,, Ofburg,,,Pascual Marquina Narro,,00:02:00,Scomegna,,Concert Band,,True,SCOESB73616A,,,Espana Cani,https://www.musicshopeurope.fr/espana-cani-scoesb73616a
9790050003373,,,,,,,,Studio Music,,Concert Band,,False,SM050003373,,,Walking in the air (From The Snowman),https://www.musicshopeurope.fr/walking-in-the-air-from-the-snowman-sm050003373?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37575
,,,,,Ernie Waites,,,Studio Music,,Concert Band,1.0,False,SM050002567SET,Value Set,,First Blow Level 1,https://www.musicshopeurope.fr/first-blow-level-1-sm050002567set?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37575
9790050000556,,,,,Goff Richards,,,Studio Music,,Orchestre d'Harmonie,3.0,True,SM050000556A,,,Doyen,https://www.musicshopeurope.fr/doyen-sm050000556a?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37575
,,Donald Furlano,,,,,,Scomegna,,Orchestre d'Harmonie,3.0,True,SCOSIXUPCB,Score and 40 parts,,Six-Up Vol. 1,https://www.musicshopeurope.fr/six-up-vol-1-scosixupcb?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37575
,,,,,,,,Scomegna,,Orchestre d'Harmonie,3.0,True,SCO-SIXUP3,Score + 40 parts,,Six-Up Vol.3,https://www.musicshopeurope.fr/six-up-vol-3-sco--sixup3?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37575
,,,,,,,,Scomegna,,Orchestre d'Harmonie,3.0,True,SCO-SIXUP2,Score + 40 parts,,Six-Up Vol.2,https://www.musicshopeurope.fr/six-up-vol-2-sco--sixup2?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37575
,,,,,Carlo Pucci,,00:03:55,Scomegna,,Orchestre d'Harmonie,3.0,True,SCOSC17,,,Fiesta Del Mar,https://www.musicshopeurope.fr/fiesta-del-mar-scosc17?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37575
,,Antonio Rossi,,,Wolfgang Amadeus Mozart,,00:04:00,Scomegna,,Orchestre d'Harmonie,4.0,True,SCORONDO,,,Rondo alla Turca,https://www.musicshopeurope.fr/rondo-alla-turca-scorondo?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37575
,,,,,Angelo Sormani,,,Scomegna,,Concert Band,,True,SCOESFRB124231,french text,,Ali Baba et les quarante voleurs,https://www.musicshopeurope.fr/ali-baba-et-les-quarante-voleurs-scoesfrb124231?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37575
,,,,,Angelo Sormani,,,Scomegna,,Orchestre d'Harmonie,3.0,True,SCOESBFR109630,,,Les Musiciens de Brème (French Text),https://www.musicshopeurope.fr/les-musiciens-de-br%c3%a8me-french-text-scoesbfr109630?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37575
,,Donald Furlano,,,Sammy Fain,"Le film ""La colline de l'adieu"" (1955) est devenu célèbre pour le thème musical ""Rien n'est plus beau que l'amour"" écrit par Paul Francis Webster et Sammy Fain, qui ont remporté l'Oscar pour la Musique. Reprise par de nombreux chanteurs, cette chanson doit sans aucun doute être considérée comme un classique des bandes sonores.",00:02:40,Scomegna,"TV, Film, Comédie musicale",Concert Band/Harmonie/Fanfare,2.0,True,SCOESB99116A,,,Love is a many splendoured thing,https://www.musicshopeurope.fr/love-is-a-many-splendoured-thing-scoesb99116a?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37575
,,,,,Antonino Pedone,,00:02:40,Scomegna,,Concert Band,3.0,False,SCOESB98414A,,,Dixie March,https://www.musicshopeurope.fr/dixie-march-scoesb98414a?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37575
,,Ofburg,,,Giuseppe Verdi,,00:07:53,Scomegna,,Concert Band,3.5,True,SCOESB98021,,,Nabucco (Sinfonia),https://www.musicshopeurope.fr/nabucco-sinfonia-scoesb98021?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37575
,,Didier Ortolan,,,L. Sasdelli,"We have included this famous piece, transcribed by Didier Ortolan for clarinet and band, as a tribute to Hengel Gualdi, who died in 2005. Born in 1924, in Correggio (Reggio Emilia), he was one of Italy's most important jazz musicians. He was held in high esteem in America, where he worked with some of the greatest musicians (Count Basie, Gerry Mulligan etc.) and played with Louis Armstrong and Lionel Hampton. In",00:02:34,Scomegna,Jazz,Orchestre d'Harmonie,2.5,True,SCOESB97816,,,Jazz Band,https://www.musicshopeurope.fr/jazz-band-scoesb97816?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37575
,,Antonio Rossi,,,Edvard Grieg,,,Scomegna,,Concert Band/Harmonie/Fanfare/Brass Band,,True,SCOESB97625,,,Peer Gynt Suite 1,https://www.musicshopeurope.fr/peer-gynt-suite-1-scoesb97625?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37575
,,,,,Marco Somadossi,,,Scomegna,,Concert Band,,True,SCOESB72421,,,Aqva,https://www.musicshopeurope.fr/aqva-scoesb72421
,,Giancarlo Gazzani,,,,,04:40:00,Scomegna,,Concert Band,,False,SCOESB89417,,,Adeste Fideles,https://www.musicshopeurope.fr/adeste-fideles-scoesb89417
9790050063735,,,,,Last,,,Studio Music,Œuvre solo et Orchestre,Concert Band and Flute Solo,,False,SM050063735,,,Lonely Shepherd,https://www.musicshopeurope.fr/lonely-shepherd-sm050063735?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37600
,,,,,Rob Wiffin,,,Studio Music,,Concert Band,,False,SM050062547,,,Here's a Health,https://www.musicshopeurope.fr/here-s-a-health-sm050062547?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37600
,2004,,,,Nigel Clarke,,,Studio Music,,Concert Band,,False,SM050062424,,,King Solomon's Mines,https://www.musicshopeurope.fr/king-solomon-s-mines-sm050062424?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37600
9790050056492,,,,,Martin Ellerby,,00:06:51,Studio Music,,Orchestre d'Harmonie,,True,SM050056492A,,,Big easy Suite,https://www.musicshopeurope.fr/big-easy-suite-sm050056492a?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37600
9790050056102,,,,,Martin Ellerby,,,Studio Music,,Orchestre d'Harmonie,6.0,True,SM050056102A,,,Clarinet Concerto,https://www.musicshopeurope.fr/clarinet-concerto-sm050056102a?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37600
,,,,,Trevor Sharpe,Trombone Trio with Band. This 'Fantasy for Trombones' features the trombone section in a riot of Spanish-style music. A sure show-stopper in any concert!,00:03:57,Studio Music,,Concert Band/Harmonie and Trombone Trio,4.0,True,SM050055983,Fantasia for Trombones,,Blades of Toledo,https://www.musicshopeurope.fr/blades-of-toledo-sm050055983?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37600
,2001,,,,Malcolm Arnold,,,Studio Music,,Concert Band,,False,SM050055839,,,Fanfare for a Festival,https://www.musicshopeurope.fr/fanfare-for-a-festival-sm050055839?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37600
9790050051343,,,,,Goff Richards,,,Studio Music,,Concert Band,,False,SM050051343,,,Barnard Castle,https://www.musicshopeurope.fr/barnard-castle-sm050051343?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37600
9790050041702,,,,,Malcolm Arnold,,,Studio Music,,Concert Band,,False,SM050041703,,,Water Music Op.82,https://www.musicshopeurope.fr/water-music-op-82-sm050041703?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37600
9790050040569,,,,,Martin Ellerby,,,Studio Music,,Concert Band,,False,SM050040552,,,Symphony for Winds,https://www.musicshopeurope.fr/symphony-for-winds-sm050040552?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37600
,,,,,Philip Sparke,,,Studio Music,,Concert Band,,False,SM050039181,,,Yorkshire Overture,https://www.musicshopeurope.fr/yorkshire-overture-sm050039181?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37600
9790050038702,,,,,Goff Richards,,,Studio Music,,Concert Band,,False,SM050038702,,,Trailblaze,https://www.musicshopeurope.fr/trailblaze-sm050038702?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37600
9790050031956,,,,,Edward Gregson,,,Studio Music,,Concert Band,,False,SM050031956,,,Metamorphoses,https://www.musicshopeurope.fr/metamorphoses-sm050031956?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37600
,,,,,Gordon Jacob,,,Studio Music,,Concert Band,,False,SM050031673,,,Prelude To Revelry,https://www.musicshopeurope.fr/prelude-to-revelry-sm050031673?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37600
,,,,,Daniele Carnevali,,00:06:20,Scomegna,Pièce de concert,Concert Band,4.0,False,SCOESB71521,,,Modo Vivo,https://www.musicshopeurope.fr/modo-vivo-scoesb71521
,, Ofburg,,,Pyotr Ilyich Tchaikovsky,,00:09:08,Scomegna,,Concert Band,,True,SCOESB88321,,,Le Lac des Cygnes,https://www.musicshopeurope.fr/le-lac-des-cygnes-scoesb88321
9790050008927,,,,,Philip Sparke,,,Studio Music,,Concert Band,5.0,False,SMM050008927,,,Sinfonietta No. 2,https://www.musicshopeurope.fr/sinfonietta-no-2-smm050008927?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37625
9790050007579,,,,,Philip Sparke,,,Studio Music,Musique légère originale,Concert Band,,True,SMM050007579A,,,Theatre Music,https://www.musicshopeurope.fr/theatre-music-smm050007579a?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37625
,,,,,Derek Bourgeois,,,Studio Music,,Orchestre d'Harmonie,3.5,True,SMITH10062,Op. 22C,,Serenade,https://www.musicshopeurope.fr/serenade-smith10062?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37625
,,,,,,,,Studio Music,,Concert Band,,False,SM050091813,Arr. Phillip Littlemore,,The Snowman,https://www.musicshopeurope.fr/the-snowman-sm050091813?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37625
9790050091554,,,,,Adam Gorb,,,Studio Music,,Concert Band,,False,SM050091554,,,Bells Across the Atlantic,https://www.musicshopeurope.fr/bells-across-the-atlantic-sm050091554?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37625
